,CODE,STATION NAME,RAILWAY ZONE,STATION ADDRESS
4293,KPB,KHARPOKHRA,ECR,"Khokhar, Punjab, India"
4294,KPCM,KUWARCHINTAWANPUR H,ECR,"Purvi Champaran, Bihar, India"
4295,KPD,KATPADI JN,SR,"Katpadi Junction, Dharapadavedu, Katpa.."
4296,KPDH,KAPURDHA HALT,SECR,"RCF Halt, RCF Main Rd, Punjab, India"
4297,KPE,KAUWAPUR,NER,"Bhiwapur, Maharashtra, India"
4298,KPG,KOPARGAON,CR,"Sanjivaani Factory, Kopargaon, Maharas.."
4299,KPGM,KARPURIGRAM,ECR,"Karpurigram, Bihar, India"
4300,KPHH,KUSHALPURA HARNAHA HALT,ECR,"Bihar 802133, India"
4301,KPHI,KOTHAPALLI,SCR,"Telangana 505451, India"
4302,KPHN,KOPAR KHAIRNA,CR,"Kopar Khairane, Navi Mumbai, Maharasht.."
4303,KPI,KALPI,NCR,"Kalpi, Uttar Pradesh, India"
4304,KPJ,KOPAGANJ H,NER,"Kopaganj, Uttar Pradesh, India"
4305,KPJG,KEREJANGA,ECOR,"Kerejanga Station, Odisha, India"
4306,KPK,KALIPAHARI,ER,"Bardhaman, West Bengal, India"
4307,KPKD,KHAPRI KHEDA,SECR,"Kheda, Gujarat, India"
4308,KPKI,QASIMPUR KHERI,NR,"Lakhimpur, Uttar Pradesh, India"
4309,KPL,KANTAKAPALLE,ECOR,"Kantakapalle Railway Station, Andhra P.."
4310,KPLD,KAPALI ROAD PH,ECOR,"Bhadrak, Odisha, India"
4311,KPLE,KOPAI,ER,"Grand Trunk Rd, West Bengal, India"
4312,KPLH,KOTIPALLI,SCR,"Kotipalli, Andhra Pradesh, India"
4313,KPLL,KOTTA PNDLPALLI,SCR,"Prakasam, Andhra Pradesh, India"
4314,KPLR,KOPARLAHAR,NR,"Koparlahar Railway Station, NH 88, Him.."
4315,KPN,KUPPAM,SWR,"Kuppam, Andhra Pradesh, India"
4316,KPNA,KAPAN,SECR,"Kapan, Chhattisgarh, India"
4317,KPO,KARANPURA,NCR,"Kanpur, Uttar Pradesh, India"
4318,KPP,KALAPIPAL,WR,"Madhya Pradesh, India"
4319,KPPR,KARUPPUR,SR,"Karuppur, Tamil Nadu, India"
4320,KPQ,KANNAPURAM,SR,"Kannapuram, Kerala, India"
4321,KPRD,KALYANPUR ROAD,ER,"Kalyanpur Rd, Amroha, Uttar Pradesh, I.."
4322,KPRR,KOTAPAR ROAD,ECOR,"Moolakkandam - Kottapara Rd, Kanhangad.."
4323,KPS,KOPA SAMHOTA,NER,"Saran, Bihar, India"
4324,KPTM,KANJIRAMITTAM,SR,"Kanjiramattom, Perumpilly, Kerala, India"
4325,KPTN,KESHORAI PATAN,WCR,"Keshorai Patan Railway Station, State .."
4326,KPTO,KARANPURATO,ER,"Karanpur, Rajasthan, India"
4327,KPU,KRISHNAPURAM,SCR,"Mavelikkara Municipality, Kerala, India"
4328,KPV,KASHIPUR,NER,"Kashipur Railway Station, Kashipur, Ut.."
4329,KPXR,KAIPADAR ROAD,ECOR,"Kaipadar Rd, Odisha, India"
4330,KPY,KARUNAGAPALLI,SR,"Karunagappally Railway Station, Karuna.."
4331,KPZ,KAPREN,WCR,"Kaprain, Rajasthan, India"
4332,KQA,KONDAGUNTA,SCR,"Kondagunta, Andhra Pradesh, India"
4333,KQD,KHAIRATABAD DCN,SCR,"Khairatabad, Khairatabad Road, Khairat.."
4334,KQE,KALA AKHAR,CR,"Kala Akhar Station, Madhya Pradesh, In.."
4335,KQI,KALACHAND,NFR,"Kalachand, Assam, India"
4336,KQK,KOTIKULAM,SR,"Bekal, Kerala, India"
4337,KQL,KANDHLA,NR,"Kandhla, Uttar Pradesh, India"
4338,KQLS,KAMARKUNDU (LOWER),ER,"Mustafapur, West Bengal 712407, India"
4339,KQN,KODAIKANAL ROAD,SR,"Kodai Road, Tamil Nadu, India"
4340,KQQ,KAUKUNTLA,SCR,"Ammapoor Road, Andhra Pradesh, India"
4341,KQR,KODERMA,ECR,"Jhumri Telaiya, Jharkhand, India"
4342,KQRT,KODERMA TOWN,ECR,"Kundai, Jharkhand 825410, India"
4343,KQS,KAILARAS,NCR,"Kailaras, Madhya Pradesh, India"
4344,KQT,KURGUNTA,SCR,"Kurgunta, Karnataka, India"
4345,KQU,KAMARKUNDU,ER,"Kamarkundu Railway Station, Kamarkundu.."
4346,KQW,KHEDULI,NWR,"Nagaur, Rajasthan, India"
4347,KQZ,KOLAR,SWR,"NAtional Highway 234, Kolar, Karnataka.."
4348,KRA,KAREPALLI,SCR,"Madharam Road, Karepally, Andhra Prade.."
4349,KRAI,KAHET,WR,"Kaher, Gujarat, India"
4350,KRAN,KORATTI ANGADI,SR,"Koratty Railway Station, Old NH Rd, Ko.."
4351,KRAP,KARAPA,SCR,"Karapa, Andhra Pradesh, India"
4352,KRAR,KHARIAR ROAD,ECOR,"Khariar Rd, Odisha, India"
4353,KRBA,KORBA,SECR,"Korba Railway Station, Korba, Chhattis.."
4354,KRBP,KHUDIRAM B PUSA,ECR,"Khudiram B Pusa Railway Station, Khudi.."
4355,KRC,KIRODA,NWR,"Korda, Gujarat, India"
4356,KRCD,KHARWA CHANDA,NWR,"Kharwa Chanda Railway Station, Rajasth.."
4357,KRD,KARAD,CR,"Satara, Maharashtra, India"
4358,KRDH,KORADIH,SECR,"Nagpur, Maharashtra, India"
4359,KRDL,KIRANDUL,ECOR,"Dantewada, Chhattisgarh, India"
4360,KRDN,KARAUNDHANA,NCR,"Karaundha Station Rd, Karaudhna, Uttar.."
4361,KRE,KARTARPUR,NR,"Kartarpur, Punjab, India"
4362,KRG,KOREGAON,CR,"Satara, Maharashtra, India"
4363,KRH,KHAIRTHAL,NWR,"Khairthal, Rajasthan, India"
4364,KRHA,KORAHIA,ECR,"National Highway 105, Selibeli, Bihar,.."
4365,KRHT,KHARAHAT,NFR,"Kharghar, Navi Mumbai, Maharashtra, In.."
4366,KRI,KHAPRI,CR,"Khapri, Maharashtra, India"
4367,KRIH,KORAI HALT,ECOR,"Bus Stop, National Highway 215, Odisha.."
4368,KRJ,KHURJA JN,NCR,"Bulandshahr, Uttar Pradesh, India"
4369,KRJD,KARJODA,NWR,"Gujarat, India"
4370,KRJR,KARJARA,ECR,"Karjan, Gujarat, India"
4371,KRKD,KARAKAD,SR,"Calle Hacienda la India, Caracas, Vene.."
4372,KRKH,KHARKARA HALT,NR,"Kharkara, Dist. - Rohtak State: Haryana"
4373,KRKM,KHARA KAMERI,NWR,"Rajsamand, Rajasthan, India"
4374,KRKN,KARKEND BH,SER,"Jharkhand 828117, India"
4375,KRKP,KYARKOP,SWR,"Sea Crown, Plot 19, RSC Road Number 25.."
4376,KRKR,KURKURA,SER,"Kurkura Railway Station, Jharkhand, In.."
4377,KRL,KOTARLIA,SECR,"Kotarlia, Chhattisgarh, India"
4378,KRLA,KORUTLA,SCR,"Korutla, Telangana 505326, India"
4379,KRLI,KURALI,NR,"Ward No. 6, Kurali, Punjab, India"
4380,KRLR,KARAILA ROAD JN,ECR,"Chakariya, Madhya Pradesh 486892, India"
4381,KRLS,KURLAS,WCR,"Rajasthan, India"
4382,KRMA,KARAMTOLLA,ER,"Karamtola Railway Station, National Hi.."
4383,KRMB,KARMABAD BH,ECR,"Kapilo, Jharkhand, India"
4384,KRMD,KUARMUNDA,SER,"Teliposh, Odisha 770039, India"
4385,KRMG,KUMARAMANGALAM,SR,"Kumaramangalam, Tamil Nadu, India"
4386,KRMI,KARMALI,KR,"Karmali Railway Station, Goa, India"
4387,KRMP,KUMARIPUR HALT,NFR,"Basantpur, Bihar, India"
4388,KRMR,KARIMNAGAR,SCR,"Karimnagar Railway Station, Karimnagar.."
4389,KRND,KHORASON ROAD,NER,"Phulpur, Uttar Pradesh, India"
4390,KRNH,KORANAHALLI H,SWR,"Karahalli, Karnataka, India"
4391,KRNI,KRISHNAI,NFR,"Krishnai, Assam, India"
4392,KRNN,KARNAUTI H,ECR,"Karnauti Station Rd, Bihar 803212, India"
4393,KRNR,KRISHANRAJANAGA,SWR,"Krishnarajanagara Railway Station, Kri.."
4394,KRNT,KURNOOL TOWN,SCR,"Kurnool Town Railway Station, Kurnool,.."
4395,KRNU,KONANUR H,SWR,"Konanur - Haggavadi Rd, Heggavadi, Kar.."
4396,KRON,KARONA H,ECR,"Korauna Sikaria Rd, Korauna, Bihar 804.."
4397,KRP,KRISHNAPUR,ER,"Mavelikkara Municipality, Kerala, India"
4398,KRPN,KHAREPATAN ROAD,KR,"Chinchavali Sherpe Rd, Berle, Maharash.."
4399,KRPP,KURUPPANTARA,SR,"Kuruppanthara Mettumpara Rd, Kaduthuru.."
4400,KRPR,KAREPUR,SCR,"Karipur, Kerala, India"
4401,KRPU,KORAPUT,ECOR,"Koraput, Orissa, India"
4402,KRQ,KARARI,NCR,India
4403,KRR,KARUR,SR,"Karur Railway Station, Karur, Tamil Na.."
4404,KRRA,KARRA,SER,"Karra, Jharkhand, India"
4405,KRRI,KHAIRRANJI,SECR,"Madhya Pradesh, India"
4406,KRS,KARISATH,ECR,"Karisath, Bihar, India"
4407,KRSA,KHARSALIYA,WR,"Panchmahal, Gujarat, India"
4408,KRSL,KRISHNASHILLA,ECR,"Uttar Pradesh, India"
4409,KRSW,KOHAR SINGH WALA,NR,"Kohar Singh Wala, Punjab, India"
4410,KRT,KHURAHAT,NER,"Khajuraho, Madhya Pradesh, India"
4411,KRTA,KARKATTA,ECR,"Karkala, Karnataka, India"
4412,KRTH,KIRATGARH,CR,"Khairagarh, Chhattisgarh, India"
4413,KRTL,KARTAULI H,NER,"Uttar Pradesh, India"
4414,KRTN,KIRTINAGAR H,NR,"Kirti Nagar Railway Under Bridge, Kirt.."
4415,KRTR,KAROTA PATRI H,ECR,"Karota Patri Halt, Patner, Bihar 81131.."
4416,KRU,KHERALU,WR,"SH 132, Gujarat, India"
4417,KRUR,KEERANUR,SR,"Keeranur, Tamil Nadu, India"
4418,KRV,KARAVADI,SCR,"National Highway 214A, Andhra Pradesh,.."
4419,KRW,KHARWA,NWR,"Rajasthan, India"
4420,KRX,KURUD,SECR,"Kurud, Chhattisgarh, India"
4421,KRXA,KHARA,SECR,"Khara, Rajasthan, India"
4422,KRXM,KRISHNAMOHAN H,ER,"Krishna Mohan Ln, Belgachia, Kolkata, .."
4423,KRY,KADIRI,SCR,"Kadiri, Andhra Pradesh, India"
4424,KRYA,KURRAIYA,NER,"Auraiya, Uttar Pradesh, India"
4425,KRYP,KADIRIDEVARAPALLI,SWR,"Kadiri Devara Palli, Andhra Pradesh 51.."
4426,KRYR,KARAMSAD,WR,"Karamsad, Gujarat, India"
4427,KRZ,KHARAWAR,NR,"Kharawar, Haryana, India"
4428,KS,KHETA SARAI,NR,"Jaunpur, Uttar Pradesh, India"
4429,KSA,KHASA,NR,"Khasa, Punjab, India"
4430,KSAE,KOSAI,SCR,"Kosai Station, Maharashtra, India"
4431,KSAR,KUDALA SANGAMA ROAD H,SWR,"Chick Sitimani, Karnataka 587207, India"
4432,KSB,KOSAMBA JN,WR,"Madresha Chai Rd, Kosamba, Gujarat, In.."
4433,KSBI,KASHIABARI,NFR,"Bara Haldibari P, West Bengal, India"
4434,KSBP,KESHABPUR,SER,"KESHABPUR, West Bengal, India"
4435,KSC,KASHI CHAK,ECR,"Sheikhpura, Bihar, India"
4436,KSD,KESHOD,WR,"Keshod, Gujarat, India"
4437,KSDE,KARSINDHU H,NR,"Karsindhu, Haryana, India"
4438,KSE,KOSAD,WR,"Kosad, Gujarat, India"
4439,KSF,KHALISPUR,NR,"Khalispur, Uttar Pradesh, India"
4440,KSG,KISHANGARH,NWR,"Kishangarh, Rajasthan, India"
4441,KSH,KALI SINDH,WR,"Kali Sindh, Madhya Pradesh, India"
4442,KSHR,KESHWARI,ECR,"Saria khurd, Jharkhand, India"
4443,KSHT,KHETIA,ER,"Tentral, West Bengal 713104, India"
4444,KSI,KOSLI,NWR,"Haryana 123302, India"
4445,KSIH,KHODSEONI,SECR,"Satara, Maharashtra, India"
4446,KSJ,KASGANJ,NER,"Etah, Uttar Pradesh, India"
4447,KSK,KASIMKOTA,SCR,"Andhra Pradesh, India"
4448,KSM,KAMASAMUDRAM,SWR,"K.G.F.Road, Tamil Nadu, India"
4449,KSMB,KUSUMHA BIHAR H,ECR,"Dewara, Bihar 811105, India"
4450,KSN,KRISHNA,SCR,"Mahabubnagar, Andhra Pradesh, India"
4451,KSNA,KANSARNAWADA,ECR,"Kachanpur, Jharkhand 825319, India"
4452,KSNG,KESINGA,ECOR,"Kalahandi, Odisha, India"
4453,KSNR,KHUSHAL NAGAR,NER,"Khushal Nagar, Moradabad, Uttar Prades.."
4454,KSO,KHEMASULI PH,SER,"West Bengal, India"
4455,KSP,KISHANPUR,ECR,"Samastipur, Bihar, India"
4456,KSPR,KASHIPURA SARAR,WR,"Vadodara, Gujarat, India"
4457,KSQ,KANSPUR GUGAULI,NCR,"Uttar Pradesh, India"
4458,KSR,KASTURI H,NER,"Kasturi Apartment, Sanewadi, Sindhi Co.."
4459,KSRA,KASARA,CR,"Kasara, Maharashtra, India"
4460,KSTA,KASTHA,ECR,"Gaya, Bihar, India"
4461,KSTE,KISTAMSETTIPALI,SCR,"Krishnam Shetty Palli, Andhra Pradesh,.."
4462,KSTH,KASHTI,CR,"Kashti, Maharashtra, India"
4463,KSU,KUSTAUR,SER,"Purulia, West Bengal, India"
4464,KSUA,KASHIPURA,WR,"Kashipur, Uttarakhand, India"
4465,KSV,KOSI KALAN,NCR,"Kosi Kalan, Uttar Pradesh, India"
4466,KSVR,KESHAV NAGAR HALT,NWR,
4467,KSW,KHERI SALWA,NWR,"KHERI SALWA, Rajasthan, India"
4468,KSWD,KASARWADI,CR,"Kasarwadi, Pimpri Chinchwad, Maharasht.."
4469,KSWR,KALMESHWAR,CR,"Kalameshwar, Maharashtra, India"
4470,KSX,KOTSHILA,SER,"Purulia, West Bengal, India"
4471,KSY,KUSIARGAON,NFR,"Kusiyar Gawon, Bihar 854312, India"
4472,KT,KUMTA,KR,"Kumta, Karnataka, India"
4473,KTA,KUSHTALA,WCR,"Kushtala, Rajasthan, India"
4474,KTAL,KATHLAL,WR,"Kathlal, Gujarat, India"
4475,KTBR,KASTURBA NAGAR,SR,"Kasturba Nagar, Adyar, Chennai, Tamil .."
4476,KTCE,KATOGHAN,NCR,"Uttar Pradesh, India"
4477,KTCH,KAITHALKUCHI,NFR,"Kalitakuchi, Assam, India"
4478,KTCR,KOTTACHERUVU,SWR,"Kothacheruvu, Andhra Pradesh, India"
4479,KTD,KANTADIH,SER,"Kanta, Uttar Pradesh, India"
4480,KTDA,KATUDA,WR,"Katuda, Gujarat, India"
4481,KTDD,KATAIYA DANDI H,NCR,"Uttar Pradesh, India"
4482,KTE,KATNI,WCR,"Katni Railway Station, Katni, Madhya P.."
4483,KTES,KATNI SOUTH,WCR,"Mansarovar Colony, Madhav Nagar, Katni.."
4484,KTF,KOT FATTEH,NR,"Kot Fatta, Punjab, India"
4485,KTGA,KEUTGUDA,ECOR,"Kutbi Guda, Kacheguda, Hyderabad, Andh.."
4486,KTGD,KOTHA GANGAD,WR,"Gujarat 382240, India"
4487,KTGG,KARATAGI,SWR,"Karatagi, PIN - 583229, Dist. - Koppal.."
4488,KTGM,KAYASTHAGRAM,NFR,"Asthagrama Layout, Basaveshwara Nagar,.."
4489,KTGN,KOTLA GUJRAN,NR,"Punjab 143601, India"
4490,KTH,KATRASGARH,ECR,"Katrasgarh Railway Station, Katras, Jh.."
4491,KTHA,KHUTAHA,WCR,"Khutaha, Bihar, India"
4492,KTHD,KOTHARI ROAD,SECR,"Kothari Rd, Nungambakkam, Chennai, Tam.."
4493,KTHE,KATAHRI,NR,"Katehri, Uttar Pradesh, India"
4494,KTHL,KATHOLA H,NER,"Gonda, Uttar Pradesh, India"
4495,KTHN,KATHOUN,ER,"Sahra, Behrajor, Dist. - Godda, PIN - .."
4496,KTHU,KATHUA,NR,"Kathua, Jammu & Kashmir"
4497,KTHY,KATHURUTHY HALT,SR,"Kazhuthurutty, Kerala 691309, India"
4498,KTI,KANTI,ECR,"Muzaffarpur, Bihar, India"
4499,KTJ,KHALTIPUR,ER,"Khaltipur Station, West Bengal 732201,.."
4500,KTJI,KATHAJORI PH,ECOR,"Cuttack, Odisha, India"
4501,KTK,KYATANEAKERI RD,SWR,"Kyataneakeri Road Station, Karnataka, .."
4502,KTKA,KOTAKADRA,SCR,"Kotakadra, Andhra Pradesh, India"
4503,KTKD,KATANGI KHURD,WCR,"Madhya Pradesh, India"
4504,KTKH,KOTLAKHERI,WR,"State Highway 27, Madhya Pradesh, India"
4505,KTKL,KOTLI KALAN,NR,"Punjab 151509, India"
4506,KTKR,KUMTHA KHURD,SCR,"Kumtha Khurd, Maharashtra 413517, India"
4507,KTKS,KANTAKOSH H,NFR,"Manihari, Bihar 854113, India"
4508,KTLA,KATKOLA JN,WR,"Jamnagar, Gujarat, India"
4509,KTLP,KATALPUR H,NER,"Katalpur, Bihar 841413, India"
4510,KTLR,KANTHALIA ROAD H,ER,"Murshidabad, West Bengal, India"
4511,KTM,KUTRALAM,SR,"Kuthalam, Tamil Nadu, India"
4512,KTMA,KOTMA,SECR,"Shahdol, Madhya Pradesh, India"
4513,KTNA,KATHANA,WR,"Kithana, Haryana, India"
4514,KTNR,KIRTYANAND NAGAR,ECR,"Nityanand Nagar, Bhan Nagar, Jaipur, R.."
4515,KTO,KATORA,SECR,"Katara, Odisha, India"
4516,KTOA,KOTANA,NWR,"Mathugamda Road, Dungarpur, Rajasthan,.."
4517,KTOR,KATORIYA,ER,"Katoria, SH 25, Bihar 813106, India"
4518,KTP,KATEPURNA,CR,"Kurankhed(Katepurna), Maharashtra, India"
4519,KTPK,KOTHA PAKKI H,NR,Gurudwara Shri Pakki Sangat Sahib Alla..
4520,KTPM,KOTTURPURAM,SR,"Kotturpuram, Chennai, Tamil Nadu, India"
4521,KTPR,KATHAL PUKHURI,NFR,"Ujani Miri, Assam 787031, India"
4522,KTQ,KUDRA,ECR,"Jahanabad, Bihar, India"
4523,KTR,KOTHAR,NWR,"Kothar, Rajasthan, India"
4524,KTRA,KOTRA,NCR,"Kotra, Rajasthan, India"
4525,KTRD,KATOSAN ROAD,WR,"Arogya Vardhak Hospital, Gujarat, India"
4526,KTRH,KATAREAH,ECR,"Kataria (sadhwa) Railway Station, Biha.."
4527,KTRI,KATERI,ECR,"Bihar 823311, India"
4528,KTRK,KUTURUKHAMAR PH,ECOR,"Badli, Odisha 766002, India"
4529,KTRR,KATHARA ROAD,NCR,"Kanpur Nagar, Uttar Pradesh, India"
4530,KTSH,KOTMI SONAN HLT,SECR,"Janjgir-Champa, Chhattisgarh, India"
4531,KTT,KHUTBAV,CR,"Khutbav, Maharashtra 412214, India"
4532,KTTR,KATTUR,SR,"Kattur, Tamil Nadu, India"
4533,KTU,KUTTIPPURAM,SR,"Kuttippuram, Kerala, India"
4534,KTV,KOTTAVALASA,ECOR,"Kothavalasa, Andhra Pradesh, India"
4535,KTW,KOTDWARA,NR,"Kotdwar, Uttarakhand, India"
4536,KTWS,KATHUWAS,NWR,"Kathuwas, Rajasthan, India"
4537,KTX,KATAKHAL JN,NFR,"Assam 788801, India"
4538,KTY,KOTTURU,SWR,"State Highway 2, Karnataka, India"
4539,KTYM,KOTTAYAM,SR,"Kottayam Railway Station, Kottayam, Ke.."
4540,KTYR,KOTTAIYUR,SR,"Kottaiyur, Tamil Nadu, India"
4541,KU,KULIKARAI,SR,"Kulakarai St, North High Court Colony,.."
4542,KUA,KULHARIA,ECR,"Kulharia Railway Station, Bihar, India"
4543,KUB,KASBA,NFR,"Kasba, Bihar, India"
4544,KUC,KARUKKUTTY,SR,"Karukutty, Kerala, India"
4545,KUCE,KUCHAI,SER,
4546,KUCH,KUCHAVARAM H,SCR,"Kuchavaram, Andhra Pradesh"
4547,KUD,KUDACHI,SWR,"Kudchi, Karnataka, India"
4548,KUDA,KUNDAPURA,KR,"Moodalkatte, Karnataka, India"
4549,KUDL,KUDAL,KR,"Kudal, Maharashtra, India"
4550,KUDN,KUDNI,NR,"RiptaRoad, Gotegaon, Madhya Pradesh, I.."
4551,KUE,KURSELA,ECR,"Simmar Gach Bus Stop, National Highway.."
4552,KUF,KAURHA,NR,"Kaurah, Uttar Pradesh, India"
4553,KUG,KUSUGALI,SWR,"Karnataka 580023, India"
4554,KUGT,KUMARGHAT,NFR,"Tripura 799264, India"
4555,KUH,KHACHROD,WR,"Ujjain, Madhya Pradesh, India"
4556,KUI,KULALI,CR,"Kulali Railway Station, Gangapur Road,.."
4557,KUJU,KUJU,ECR,"National Highway 33, Kuju, Jharkhand 8.."
4558,KUK,KORUKONDA,ECOR,"Vizianagaram, Andhra Pradesh, India"
4559,KUKA,KHUI KHERA,NR,"Punjab 152121, India"
4560,KUKT,KURUKOTTA,SCR,"Station Road, Karnataka 585316, India"
4561,KUL,KALLAYI,SR,"Kallayi, Kerala, India"
4562,KULH,KULHA H,NR,"Unnao, Uttar Pradesh, India"
4563,KUM,KURAM,CR,"Kuram, Maharashtra, India"
4564,KUMB,KUMARBAGH,ECR,"Kumarbagh, Bihar, India"
4565,KUMM,KUMBALAM,SR,"Kumbalam, Kerala, India"
4566,KUMT,KURMAHAT,ER,
4567,KUN,KARNAL,NR,"Karnal Railway Station, Karnal, Haryan.."
4568,KUND,KUND,NWR,"Kund, Uttarakhand, India"
4569,KUP,KUP,NR,"SH 11, Punjab, India"
4570,KUPR,KHURDPUR,NR,"Punjab 144102, India"
4571,KUQ,KURETHA,NFR,"Kuraitha, Bihar, India"
4572,KUR,KHURDA ROAD JN,ECOR,"Khordha, Orissa, India"
4573,KURJ,KHAJURAHO,NCR,"Khajuraho, Madhya Pradesh, India"
4574,KURN,KHUKRANA H,NR,"Khukrana, Khekra, Uttar Pradesh, India"
4575,KURO,KORARI,NR,"Unnao, Uttar Pradesh, India"
4576,KURT,KHURDA TOWN,ECOR,"Khurdha, Odisha, India"
4577,KURV,KURVA,ER,"Kurwa, Dumka, Jharkhand 814119, India"
4578,KUT,KANAUTA,NWR,"Rajasthan, India"
4579,KUTI,KHUMTAI,NFR,"Golaghat, Assam, India"
4580,KUU,KUHURI,ECOR,"Khordha, Orissa, India"
4581,KUV,KUNDARA,SR,"Kollam-Tirumangalam Road, Kundara, Ker.."
4582,KUW,KANWAR,NCR,"Kanwar, Amdi, Chhattisgarh, India"
4583,KUX,KHIRSADOH JN,CR,"Chhindwara, Madhya Pradesh, India"
4584,KVA,KAVAS,NWR,"Barmer, Rajasthan, India"
4585,KVC,KAPARPURA,ECR,"Kaparpura, Bihar 842001, India"
4586,KVD,KHURMABAD ROAD,ECR,"Khurmabad Road Railway Station, Khurma.."
4587,KVDU,KADAVAKUDURU,SCR,"Kadavakuduru, Andhra Pradesh, India"
4588,KVE,KAVALANDE H,SWR,"Dooda Kavalande, Karnataka, India"
4589,KVG,KUNEANGANJ,NR,"Rae Bareli, Uttar Pradesh, India"
4590,KVGM,KOLVAGRAM,NWR,"Kolvagram, Kolwa, Rajasthan 303325, In.."
4591,KVJ,KESHAVGANJ,NWR,"Sirohi, Rajasthan, India"
4592,KVK,KAVATHE MAHANKL,CR,"Kavathe Mahankal, Maharashtra, India"
4593,KVL,KIZHVELUR,SR,"Thirukkanangudi, Tamil Nadu, India"
4594,KVLK,KAVAL KINARU,SR,"Tamil Nadu 627105, India"
4595,KVLR,KARUVALLI,SWR,"Karuvalli, Tamil Nadu, India"
4596,KVLS,KARAKAVALASA,ECOR,"Vishakhapatnam, Andhra Pradesh, India"
4597,KVM,KAVUTARAM,SCR,"Kavutaram, Dokiparru, Andhra Pradesh, .."
4598,KVN,KAVANUR,SR,"Kavanur, Kerala, India"
4599,KVNJ,KAPADVANJ,WR,"Kapadvanj, Gujarat, India"
4600,KVO,KEVDI ROAD,WR,"Vadodara To Kevdi Eco Campsite, Gujara.."
4601,KVP,KAVARAIPPETTAI,SR,"Kavaraipettai, Tamil Nadu, India"
4602,KVQ,KOSIARA,ECR,"Duba, Jharkhand 822115, India"
4603,KVR,KOVVUR,SCR,"Kovvur Railway Station, Kovvur, Andhra.."
4604,KVS,KALSUR,SWR,"Haveri, Karnataka, India"
4605,KVTA,KARUVATTA H,SR,"Karuvatta, Kerala, India"
4606,KVU,KADAKAVUR,SR,"Kadakkavoor Railway Station, Kadakkavo.."
4607,KVV,KURAVAPPULAM,SR,"Kuravappulam Downtown, Kuravappulam, T.."
4608,KVX,KUSUMBHI,NR,India
4609,KVZ,KAVALI,SCR,"Kavali Railway Station, Fly Over, Kava.."
4610,KW,KHERVADI,CR,"Kherva, Gujarat, India"
4611,KWAE,KATWA,ER,"Katwa, Station Bazar To Kachari Road, .."
4612,KWAR,KAWAR,ECR,"Dhobia Singha, Jharkhand 815316, India"
4613,KWB,KANIWARA,SECR,"Kanhiwada, Madhya Pradesh, India"
4614,KWC,KUNDWA CHAINPUR,ECR,"Singhrahiya, Bihar, India"
4615,KWD,KARWANDIYA,ECR,"Karwandiya, Bihar, India"
4616,KWDP,KAKDWIP,ER,"Kakdwip, West Bengal, India"
4617,KWE,KHURIAL,NFR,"Khuriyal, Bihar 855113, India"
4618,KWGN,KAWARGAON,ECOR,"Kargaon, Maharashtra, India"
4619,KWH,KACHHWA ROAD,NER,"Kachha Rd, Bina, Madhya Pradesh, India"
4620,KWI,KIVARLI,NWR,"Kivarli, Rajasthan, India"
4621,KWJ,KHOJEWALA,NR,"Khojewala, Punjab, India"
4622,KWM,KAMPUR,NFR,"Assam 782426, India"
4623,KWMD,KUMBHAWAS MUNDHALIA DABRI H,NR,"Haryana 123412, India"
4624,KWN,KACHEWANI,SECR,"Kachewani Station, Maharashtra, India"
4625,KWO,KARAUTA,ECR,"Bihar 803202, India"
4626,KWP,KHATIPURA,NWR,"Jaipur, Rajasthan, India"
4627,KWR,KOELWAR,ECR,"Bihar, India"
4628,KWV,KURDUVADI,CR,"Kurduvadi, Maharashtra, India"
4629,KWW,KUSWA H,NCR,"Uttar Pradesh, India"
4630,KXA,KUANRIYA,NWR,"Kuanriya, Rajasthan, India"
4631,KXB,KANJIYA,WCR,"Madhya Pradesh, India"
4632,KXE,KALYAN CHAK,ER,"Sahibganj, Jharkhand, India"
4633,KXF,KAMPIL ROAD,NER,"MDR 110W, Farrukhabad, Uttar Pradesh, .."
4634,KXG,KHARIA KHANGARH,NWR,"Kharia Khangar, Rajasthan, India"
4635,KXH,KAPURTHALA,NR,"Sheikhupur, Kapurthala, Punjab, India"
4636,KXI,KURUMURTHI,SCR,"Ammapoor Road, Andhra Pradesh, India"
4637,KXJ,KARIMGANJ JN,NFR,"Karimganj, 788710, India"
4638,KXK,KHARKHAUDA,NR,"Kharkhauda, Uttar Pradesh, India"
4639,KXL,KAMARBANDHA ALI,NFR,"Kamarbandha Ali, Assam, India"
4640,KXM,KITHAM,NCR,"Kitham, Uttar Pradesh, India"
4641,KXN,KANSHBAHAL,SER,"Sundargarh, Orissa, India"
4642,KXO,KUDIKADU,SR,"Melanikuzhi, Tamil Nadu, India"
4643,KXP,KANIYAPURAM,SR,"Chirayinkeezhu Kaniyapuram Road, Kaniy.."
4644,KXR,KURIA,ECR,"Purvi Champaran, Bihar, India"
4645,KXRA,KURIA HALT,ECR,"Kunria, Bihar, India"
4646,KXT,KETTI,SR,"Ketti Valley, Tamil Nadu, India"
4647,KXX,KATA ROAD,SCR,"Stirling North SA 5710, Australia"
4648,KXY,KARIYAPATTINAM,SR,"Marudur Vadakku, Tamil Nadu, India"
4649,KY,KARELI,WCR,"Station Road, Kareli, Madhya Pradesh 4.."
4650,KYA,KAURIYA H,ECR,"Bhojpur, Bihar, India"
